ChEMBL ID,Canonical_Smiles,MW,LogP,NumHDonors,NumHAcceptors,pKi
CHEMBL230943,CCC(=O)N(c1ccccc1)C1CCN(CC1)C(=O)[C@H](Cc1ccc2c(c1)cccc2)N,429.564,4.1438,1,3,5.48
CHEMBL585721,Oc1cccc2c1O[C@@H]1[C@@]32CCN(C[C@@H]3CCC1)CCc1ccccc1,349.474,4.1395,1,3,8.22
CHEMBL2386901,Oc1ccc2c(c1)[C@@]1(CCN(C[C@@H]1O2)CC1CC1)CCc1ccccc1,349.474,4.1395,1,3,7.62
CHEMBL2386822,CN1CC[C@@]2([C@H](C1)Oc1c2cc(cc1)O)CCCCc1ccccc1,337.463,4.1395,1,3,7.54
CHEMBL337341,C[C@H]1CN(CC[C@@]1(C)c1cccc(c1)C(=O)N)Cc1ccc2c(n1)cccc2,373.5,4.1334,1,3,6.66
CHEMBL4059786,NC(=O)c1cccc(c1)C1C[C@H]2CC[C@H](C1)N2CCCc1ccccc1,348.49,4.1287,1,2,8.89
CHEMBL49143,Nc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC1CCC1,310.485,4.1273,1,2,6.74
CHEMBL433814,CCC(c1ccccc1)N1CCC(CC1)(O)c1ccccc1,295.426,4.1213,1,2,4.68
CHEMBL1766023,Nc1sc2c(n1)cc1c(c2)C[C@@H]2[C@H]3[C@@]1(CCCC3)CCN2C[C@@H]1CCCO1,383.561,4.1159,1,5,7.25
CHEMBL494462,CCN(C(=O)c1ccc(cc1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,376.5,4.1149,1,3,8.74
CHEMBL563700,CCN(C(=O)c1ccc(cc1)C1=CC2(CCCNC2)Oc2c1cccc2)CC,376.5,4.1149,1,3,7.25
CHEMBL523204,CCN(C(=O)c1cccc(c1)C1=CC2(CCNCC2)Oc2c1cccc2)CC,376.5,4.1149,1,3,6.48
CHEMBL493454,CCN(C(=O)c1ccccc1C1=CC2(CCNCC2)Oc2c1cccc2)CC,376.5,4.1149,1,3,6.32
CHEMBL3695286,OC1CCN(CC1)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,438.616,4.1074,1,6,4.36
CHEMBL420995,CC(CN1CCC23[C@H]([C@H]1Cc1c3ccc(c1)O)CCCC2)C,299.458,4.1066,1,2,8.25
CHEMBL188411,Oc1ccc2c(c1)C(C)(C)C(CC2)N(CC1CC1)CC1CC1,299.458,4.1066,1,2,5.24
CHEMBL117183,CCCCCN1CC[C@]2([C@H](C1Cc1c2cc(cc1)O)C)C,287.447,4.1066,1,2,7.01
